AP1;AP2;AP3;AP4;AP5;AP6;AP7;AP8;AP9;AP10;AP11;Beacon 1;Beacon 2;Beacon 3;Beacon 4;Beacon 5;Beacon 6;Beacon 7;Beacon 8;Beacon 9;Beacon 10;Beacon 11;Beacon 12;Beacon 13;Beacon 14;Beacon 15;Beacon 16;Beacon 17;Beacon 18;Beacon 19;Beacon 20;Beacon 21;Beacon 22;Beacon 23;Beacon 24;Beacon 25;Beacon 26;Beacon 27;Beacon 28;Beacon 29;Beacon 30;Beacon 31;Beacon 32;Beacon 33;Beacon 34;Beacon 35;Beacon 36;Beacon 37;Beacon 38;Beacon 39;Beacon 40;Beacon 41;Beacon 42;Beacon 43;Beacon 44;Beacon 45;Beacon 46;X Pos;Y Pos
-81.0;-110.0;-77.0;-110.0;-110.0;-110.0;-110.0;-110.0;-64.0;-66.0;-62.0;-110.0;-110.0;-82.0;-77.0;-97.0;-77.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-86.0;-110.0;-110.0;-110.0;-110.0;-110.0;-101.0;-110.0;-110.0;-110.0;-110.0;-85.0;-110.0;-110.0;-101.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-82.0;-110.0;-110.0;3.4;6.5
-58.0;-60.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-86.0;-80.0;-110.0;-110.0;-110.0;-89.0;-110.0;-83.0;-97.0;-110.0;-110.0;-110.0;-110.0;-74.0;-110.0;-84.0;-86.0;-110.0;-110.0;-110.0;-110.0;-110.0;-81.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-88.0;-92.0;-110.0;-110.0;-79.0;-100.0;-110.0;-77.0;-110.0;-110.0;-96.0;-110.0;-110.0;-110.0;-110.0;-110.0;-86.0;-110.0;-110.0;3.4;31.3
-110.0;-110.0;-110.0;-110.0;-110.0;-86.0;-76.0;-78.0;-71.0;-61.0;-61.0;-110.0;-92.0;-81.0;-110.0;-110.0;-80.0;-110.0;-91.0;-110.0;-110.0;-90.0;-94.0;-85.0;-83.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-94.0;-110.0;-110.0;-110.0;-72.0;-110.0;-110.0;-89.0;-110.0;-110.0;-110.0;-110.0;-110.0;-86.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-82.0;-110.0;-110.0;-110.0;6.5;6.5
-53.0;-63.0;-71.0;-77.0;-87.0;-110.0;-110.0;-90.0;-110.0;-83.0;-110.0;-110.0;-93.0;-110.0;-80.0;-110.0;-110.0;-95.0;-110.0;-110.0;-110.0;-110.0;-110.0;-70.0;-110.0;-81.0;-91.0;-110.0;-110.0;-110.0;-110.0;-84.0;-83.0;-110.0;-110.0;-110.0;-110.0;-110.0;-86.0;-98.0;-110.0;-110.0;-81.0;-110.0;-87.0;-82.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;6.5;31.3
-110.0;-110.0;-85.0;-110.0;-110.0;-110.0;-78.0;-110.0;-64.0;-57.0;-60.0;-110.0;-90.0;-77.0;-110.0;-95.0;-81.0;-80.0;-95.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-89.0;-110.0;-110.0;-100.0;-110.0;-95.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-91.0;-110.0;-110.0;-96.0;-110.0;-110.0;-110.0;-84.0;-110.0;-110.0;-110.0;9.6;6.5
-77.0;-110.0;-69.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-77.0;-110.0;-110.0;-83.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-79.0;-110.0;-77.0;-110.0;-110.0;-110.0;-110.0;-110.0;-92.0;-87.0;-110.0;-110.0;-110.0;-110.0;-82.0;-97.0;-110.0;-87.0;-110.0;-110.0;-110.0;-110.0;-110.0;-80.0;-82.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-97.0;-84.0;-73.0;-110.0;-110.0;9.6;18.9
-59.0;-60.0;-69.0;-77.0;-83.0;-110.0;-110.0;-110.0;-78.0;-76.0;-110.0;-110.0;-110.0;-91.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-79.0;-72.0;-81.0;-110.0;-110.0;-110.0;-95.0;-110.0;-110.0;-79.0;-110.0;-110.0;-110.0;-110.0;-91.0;-110.0;-84.0;-96.0;-110.0;-77.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-85.0;-110.0;-110.0;9.6;31.3
-110.0;-110.0;-80.0;-110.0;-110.0;-82.0;-110.0;-69.0;-59.0;-65.0;-56.0;-110.0;-95.0;-72.0;-79.0;-96.0;-110.0;-77.0;-110.0;-110.0;-110.0;-92.0;-110.0;-110.0;-110.0;-110.0;-110.0;-84.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-73.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-94.0;-110.0;-91.0;-110.0;-110.0;-110.0;-82.0;-84.0;-110.0;-110.0;12.7;6.5
-76.0;-110.0;-110.0;-110.0;-86.0;-86.0;-110.0;-110.0;-69.0;-110.0;-73.0;-110.0;-83.0;-87.0;-110.0;-110.0;-67.0;-86.0;-91.0;-96.0;-110.0;-83.0;-93.0;-85.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-86.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-84.0;-83.0;-94.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-92.0;-80.0;-110.0;-110.0;12.7;18.9
-77.0;-78.0;-70.0;-110.0;-52.0;-74.0;-110.0;-110.0;-110.0;-110.0;-70.0;-110.0;-110.0;-77.0;-110.0;-110.0;-110.0;-84.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-97.0;-110.0;-110.0;-110.0;-83.0;-110.0;-110.0;-110.0;-110.0;-110.0;-85.0;-110.0;-81.0;-81.0;-110.0;-84.0;-110.0;-90.0;-77.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-92.0;-110.0;-110.0;-110.0;-95.0;-74.0;15.8;18.9
