AP1;AP2;AP3;AP4;AP5;AP6;AP7;AP8;AP9;AP10;AP11;Beacon 1;Beacon 2;Beacon 3;Beacon 4;Beacon 5;Beacon 6;Beacon 7;Beacon 8;Beacon 9;Beacon 10;Beacon 11;Beacon 12;Beacon 13;Beacon 14;Beacon 15;Beacon 16;Beacon 17;Beacon 18;Beacon 19;Beacon 20;Beacon 21;Beacon 22;Beacon 23;Beacon 24;Beacon 25;Beacon 26;Beacon 27;Beacon 28;Beacon 29;Beacon 30;Beacon 31;Beacon 32;Beacon 33;Beacon 34;Beacon 35;Beacon 36;Beacon 37;Beacon 38;Beacon 39;Beacon 40;Beacon 41;Beacon 42;Beacon 43;Beacon 44;Beacon 45;Beacon 46;X Pos;Y Pos
-110.0;-110.0;-110.0;-110.0;-69.0;-58.0;-78.0;-110.0;-74.0;-110.0;-60.0;-110.0;-110.0;-110.0;-110.0;-91.0;-110.0;-76.0;-83.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-87.0;-110.0;-110.0;-110.0;-95.0;-110.0;-110.0;-110.0;-110.0;-93.0;-83.0;-110.0;-110.0;-110.0;-87.0;-110.0;-110.0;-87.0;-90.0;-92.0;-83.0;-110.0;-81.0;-110.0;-110.0;-110.0;-85.0;3.4;3.4
-110.0;-110.0;-110.0;-80.0;-72.0;-110.0;-64.0;-67.0;-70.0;-75.0;-66.0;-110.0;-110.0;-73.0;-110.0;-91.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-91.0;-110.0;-110.0;-73.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-84.0;-110.0;-91.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-67.0;-110.0;-95.0;-110.0;-110.0;-81.0;-110.0;-110.0;-110.0;-110.0;6.5;3.4
-110.0;-110.0;-110.0;-110.0;-110.0;-66.0;-66.0;-78.0;-110.0;-65.0;-60.0;-110.0;-110.0;-96.0;-110.0;-110.0;-95.0;-81.0;-110.0;-110.0;-110.0;-92.0;-110.0;-110.0;-110.0;-110.0;-110.0;-89.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-86.0;-110.0;-110.0;-110.0;-110.0;-110.0;-83.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-67.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;9.6;3.4
-110.0;-110.0;-85.0;-110.0;-110.0;-58.0;-81.0;-110.0;-110.0;-110.0;-60.0;-110.0;-110.0;-71.0;-110.0;-110.0;-110.0;-80.0;-110.0;-110.0;-110.0;-86.0;-110.0;-110.0;-110.0;-110.0;-110.0;-78.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-78.0;-85.0;-72.0;-110.0;-110.0;-92.0;-110.0;-110.0;-90.0;-87.0;-110.0;-80.0;-80.0;-110.0;-110.0;-110.0;-110.0;-75.0;-110.0;-110.0;-85.0;-85.0;12.7;3.4
-110.0;-110.0;-85.0;-110.0;-110.0;-79.0;-64.0;-68.0;-74.0;-66.0;-70.0;-110.0;-110.0;-96.0;-110.0;-75.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-97.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-94.0;-110.0;-110.0;-110.0;-79.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-80.0;-110.0;-110.0;-110.0;-110.0;-84.0;-81.0;-110.0;-90.0;-110.0;-110.0;15.7;3.4
-110.0;-110.0;-86.0;-110.0;-110.0;-66.0;-62.0;-110.0;-61.0;-110.0;-81.0;-92.0;-110.0;-71.0;-110.0;-85.0;-92.0;-84.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-81.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-95.0;-97.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-80.0;-90.0;-110.0;-90.0;-83.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;18.9;3.4
-81.0;-110.0;-110.0;-110.0;-110.0;-71.0;-66.0;-110.0;-66.0;-74.0;-78.0;-110.0;-110.0;-110.0;-110.0;-75.0;-110.0;-77.0;-110.0;-110.0;-91.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-81.0;-85.0;-110.0;-89.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-83.0;-110.0;-110.0;-87.0;-110.0;-110.0;-70.0;-73.0;-110.0;-77.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-85.0;22.0;3.4
-110.0;-110.0;-91.0;-77.0;-110.0;-110.0;-63.0;-68.0;-61.0;-58.0;-110.0;-110.0;-110.0;-73.0;-110.0;-110.0;-92.0;-110.0;-110.0;-79.0;-110.0;-110.0;-110.0;-110.0;-90.0;-110.0;-110.0;-88.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-85.0;-110.0;-110.0;-95.0;-110.0;-92.0;-110.0;-110.0;-91.0;-110.0;-110.0;-91.0;-80.0;-86.0;-110.0;-110.0;-110.0;-110.0;-110.0;-84.0;-110.0;-110.0;28.2;3.4
-110.0;-110.0;-110.0;-110.0;-110.0;-60.0;-66.0;-68.0;-74.0;-64.0;-110.0;-110.0;-110.0;-96.0;-77.0;-96.0;-110.0;-110.0;-110.0;-86.0;-110.0;-110.0;-110.0;-110.0;-91.0;-110.0;-110.0;-89.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-96.0;-110.0;-81.0;-110.0;-110.0;-102.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-79.0;-84.0;-110.0;-90.0;-90.0;-110.0;-110.0;31.3;3.4
-81.0;-110.0;-85.0;-77.0;-110.0;-50.0;-71.0;-76.0;-64.0;-56.0;-61.0;-110.0;-110.0;-110.0;-110.0;-91.0;-110.0;-110.0;-83.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-110.0;-82.0;-110.0;-110.0;-110.0;-86.0;-110.0;-85.0;-110.0;34.4;3.4
